TCR-CD3ge lifetime,Force,Lifetime,TCR-CD3ge thermal,Thermal Lifetime,,TCR-CD3de lifetime,Force,Lifetime,TCR-CD3de thermal,Thermal Lifetime,,TCR-CD3mix lifetime,Force,Lifetime,TCR-CD3mix Thermal,Thermal lifetime
,16.974,0.212,,,,,15.997,0.472,,,,,12.749,0.226,,
,17.101,0.078,,,,,16.057,0.216,,,,,12.759,58.138,,
,17.203,0.228,,,,,16.062,0.047,,,,,12.774,0.112,,
,17.237,0.61,,,,,16.135,0.336,,,,,12.79,3.21,,
,17.266,1.242,,,,,16.149,0.047,,,,,12.814,0.201,,
,17.579,0.014,,,,,16.215,0.038,,,,,12.861,0.15,,
,17.63,0.122,,,,,16.223,0.018,,,,,12.97,0.731,,
,17.737,0.055,,,,,16.241,0.01,,,,,12.97,0.731,,
,17.795,1.954,,,,,16.244,0.014,,,,,13.026,0.196,,
,17.846,0.064,,,,,16.558,0.079,,,,,13.043,0.304,,
,17.86,0.084,,,,,16.583,0.01,,,,,13.066,0.023,,
,17.9,0.749,,,,,16.671,0.614,,,,,13.072,0.592,,
,17.911,4.422,,,,,16.696,0.014,,,,,13.124,1.238,,
,17.952,0.017,,,,,16.725,1.652,,,,,13.262,0.013,,
,18.067,0.311,,,,,16.731,0.394,,,,,13.263,0.147,,
,18.09,0.331,,,,,16.744,0.021,,,,,13.376,0.046,,
,18.452,0.218,,,,,16.746,0.3,,,,,13.403,0.593,,
,18.598,0.13,,,,,16.751,0.017,,,,,13.409,0.23,,
,18.748,0.444,,,,,16.751,1.435,,,,,13.417,0.163,,
,18.75,0.645,,,,,16.768,0.097,,,,,13.524,0.016,,
,18.796,0.017,,,,,16.833,5.292,,,,,13.532,0.236,,
,19.097,0.02,,,,,16.855,1.103,,,,,13.541,34.29,,
,19.588,0.068,,,,,16.855,1.196,,,,,13.541,0.363,,
,19.597,0.473,,,,,16.903,0.013,,,,,13.556,0.006,,
,19.644,0.019,,,,,16.957,0.078,,,,,13.59,0.098,,
,19.651,0.294,,,,,16.961,0.954,,,,,13.619,0.007,,
,19.654,0.547,,,,,16.987,0.052,,,,,13.73,0.004,,
,19.691,0.184,,,,,17.068,0.179,,,,,13.742,2.105,,
,19.695,0.041,,,,,17.083,0.223,,,,,13.883,0.068,,
,19.778,0.036,,,,,17.113,0.067,,,,,13.965,0.011,,
,19.84,0.395,,,,,17.155,0.459,,,,,14.002,0.073,,
,19.979,0.063,,,,,17.184,0.01,,,,,14.007,0.056,,
,20.083,0.625,,,,,17.288,0.127,,,,,14.007,7.224,,
,20.088,0.481,,,,,17.291,0.046,,,,,14.03,6.42,,
,20.256,0.033,,,,,17.337,0.044,,,,,14.075,0.171,,
,20.385,0.053,,,,,17.346,0.078,,,,,14.094,0.02,,
,20.473,0.13,,,,,17.355,0.048,,,,,14.155,0.016,,
,20.696,1.977,,,,,17.369,0.313,,,,,14.167,0.188,,
,20.746,0.039,,,,,17.423,1.251,,,,,14.172,0.19,,
,21.019,0.235,,,,,17.446,0.092,,,,,14.263,0.006,,
,21.695,0.114,,,,,17.504,0.096,,,,,14.275,0.092,,
,21.837,0.2,,,,,17.515,0.109,,,,,14.276,0.072,,
,21.906,0.013,,,,,17.618,0.02,,,,,14.29,0.351,,
,21.93,0.016,,,,,17.629,0.127,,,,,14.319,0.734,,
,22.732,0.857,,,,,17.694,0.029,,,,,14.381,0.068,,
,22.783,0.09,,,,,17.694,0.042,,,,,14.386,0.099,,
,22.867,0.059,,,,,17.735,0.531,,,,,14.392,0.317,,
,23.163,0.79,,,,,17.773,8.782,,,,,14.414,0.177,,
,23.207,0.152,,,,,17.776,0.048,,,,,14.461,0.21,,
,23.628,0.098,,,,,17.776,0.497,,,,,14.473,0.071,,
,24.26,0.295,,,,,17.88,0.038,,,,,14.476,0.007,,
,24.291,0.026,,,,,17.998,0.043,,,,,14.498,0.059,,
,24.547,0.032,,,,,18.045,0.118,,,,,14.507,5.585,,
,24.915,0.14,,,,,18.072,1.01,,,,,14.538,0.451,,
,25.22,0.158,,,,,18.168,0.013,,,,,14.544,0.193,,
,25.649,0.029,,,,,18.219,0.311,,,,,14.564,0.054,,
,25.95,0.012,,,,,18.228,0.319,,,,,14.617,0.096,,
,26.384,0.726,,,,,18.247,0.052,,,,,14.641,0.084,,
,26.434,0.027,,,,,18.39,0.055,,,,,14.685,1.7,,
,27.023,0.113,,,,,18.461,0.029,,,,,14.694,0.141,,
,27.056,3.28,,,,,18.483,0.035,,,,,14.696,3.66,,
,27.964,0.364,,,,,18.61,0.046,,,,,14.739,0.116,,
,28.895,0.311,,,,,18.665,0.014,,,,,14.772,0.401,,
,29.277,0.019,,,,,18.783,0.029,,,,,14.783,0.104,,
,29.658,0.097,,,,,18.83,0.232,,,,,14.926,0.173,,
,,,,,,,18.879,0.043,,,,,14.947,0.472,,
,,,,,,,18.975,0.632,,,,,14.947,0.029,,
,,,,,,,19.017,0.02,,,,,14.973,0.188,,
,,,,,,,19.021,0.077,,,,,14.994,0.004,,
,,,,,,,19.071,0.753,,,,,15.016,0.031,,
,,,,,,,19.079,0.026,,,,,15.05,0.037,,
,,,,,,,19.2,0.017,,,,,15.077,0.203,,
,,,,,,,19.271,0.051,,,,,15.079,0.054,,
,,,,,,,19.451,0.347,,,,,15.216,0.176,,
,,,,,,,19.475,0.086,,,,,15.221,0.053,,
,,,,,,,19.493,0.02,,,,,15.308,0.089,,
,,,,,,,19.521,0.701,,,,,15.463,0.323,,
,,,,,,,19.537,0.078,,,,,15.602,6.057,,
,,,,,,,19.565,0.03,,,,,15.605,0.072,,
,,,,,,,19.712,5.218,,,,,15.657,0.084,,
,,,,,,,19.722,0.043,,,,,15.686,1.55,,
,,,,,,,19.811,0.568,,,,,15.694,0.009,,
,,,,,,,19.821,0.069,,,,,15.712,0.181,,
,,,,,,,19.886,0.014,,,,,15.738,2.73,,
,,,,,,,19.985,0.624,,,,,15.766,0.049,,
,,,,,,,20.03,0.07,,,,,15.786,0.035,,
,,,,,,,20.057,0.051,,,,,15.806,1.648,,
,,,,,,,20.227,0.053,,,,,15.905,0.025,,
,,,,,,,20.301,0.021,,,,,15.929,0.004,,
,,,,,,,20.331,0.114,,,,,15.933,43.36,,
,,,,,,,20.358,0.05,,,,,15.962,0.057,,
,,,,,,,20.359,0.067,,,,,16.016,0.123,,
,,,,,,,20.378,2.066,,,,,16.03,0.022,,
,,,,,,,20.382,0.107,,,,,16.083,0.193,,
,,,,,,,20.59,0.653,,,,,16.119,0.313,,
,,,,,,,20.668,0.757,,,,,16.169,0.04,,
,,,,,,,20.701,0.077,,,,,16.194,0.065,,
,,,,,,,20.743,0.02,,,,,16.255,0.814,,
,,,,,,,20.76,1.723,,,,,16.279,0.033,,
,,,,,,,20.819,0.04,,,,,16.284,0.028,,
,,,,,,,20.832,0.043,,,,,16.297,0.064,,
,,,,,,,20.863,0.046,,,,,16.353,0.049,,
,,,,,,,20.902,0.098,,,,,16.371,0.236,,
,,,,,,,20.957,0.056,,,,,16.376,0.658,,
,,,,,,,20.966,0.024,,,,,16.417,0.023,,
,,,,,,,20.969,0.145,,,,,16.44,0.202,,
,,,,,,,20.991,0.268,,,,,16.475,0.013,,
,,,,,,,21.019,0.209,,,,,16.49,6.242,,
,,,,,,,21.148,0.137,,,,,16.524,0.104,,
,,,,,,,21.446,0.473,,,,,16.524,7.653,,
,,,,,,,21.454,2.808,,,,,16.545,0.006,,
,,,,,,,21.571,0.02,,,,,16.569,0.083,,
,,,,,,,21.718,0.017,,,,,16.582,0.03,,
,,,,,,,21.726,0.048,,,,,16.662,0.056,,
,,,,,,,21.74,0.078,,,,,16.663,0.011,,
,,,,,,,21.786,0.059,,,,,16.705,0.012,,
,,,,,,,21.815,0.061,,,,,16.776,0.024,,
,,,,,,,21.9,0.05,,,,,16.814,0.203,,
,,,,,,,21.933,0.03,,,,,16.855,0.076,,
,,,,,,,22.2,4.383,,,,,16.929,0.01,,
,,,,,,,22.204,0.311,,,,,16.938,0.013,,
,,,,,,,22.24,0.011,,,,,16.985,0.012,,
,,,,,,,22.256,0.091,,,,,17.065,0.041,,
,,,,,,,22.263,2.444,,,,,17.094,0.035,,
,,,,,,,22.275,0.066,,,,,17.118,0.063,,
,,,,,,,22.307,0.011,,,,,17.132,0.067,,
,,,,,,,22.387,0.09,,,,,17.167,0.171,,
,,,,,,,22.405,0.011,,,,,17.245,0.028,,
,,,,,,,22.486,0.152,,,,,17.251,0.152,,
,,,,,,,22.748,0.088,,,,,17.257,0.192,,
,,,,,,,22.76,0.027,,,,,17.286,0.018,,
,,,,,,,23.005,16.816,,,,,17.357,1.678,,
,,,,,,,23.202,1.167,,,,,17.465,0.244,,
,,,,,,,23.306,0.064,,,,,17.472,0.042,,
,,,,,,,23.338,0.024,,,,,17.495,0.404,,
,,,,,,,23.413,0.501,,,,,17.525,0.141,,
,,,,,,,23.414,0.526,,,,,17.605,0.009,,
,,,,,,,23.582,0.449,,,,,17.635,0.011,,
,,,,,,,23.696,0.38,,,,,17.757,0.054,,
,,,,,,,23.8,0.348,,,,,17.78,0.244,,
,,,,,,,23.963,0.244,,,,,17.796,0.036,,
,,,,,,,24.117,0.101,,,,,17.814,0.071,,
,,,,,,,24.29,0.082,,,,,17.818,0.548,,
,,,,,,,24.305,0.01,,,,,17.845,0.02,,
,,,,,,,24.436,0.028,,,,,17.861,0.442,,
,,,,,,,24.485,0.039,,,,,17.865,0.01,,
,,,,,,,24.626,0.014,,,,,17.941,0.175,,
,,,,,,,24.629,0.014,,,,,17.97,0.048,,
,,,,,,,24.693,0.036,,,,,17.994,0.283,,
,,,,,,,24.73,0.024,,,,,18,0.034,,
,,,,,,,24.778,0.494,,,,,18.049,0.136,,
,,,,,,,24.81,0.076,,,,,18.071,0.132,,
,,,,,,,24.861,0.064,,,,,18.139,0.17,,
,,,,,,,25.002,0.381,,,,,18.193,4.793,,
,,,,,,,25.045,0.023,,,,,18.226,0.563,,
,,,,,,,25.06,0.068,,,,,18.268,0.026,,
,,,,,,,25.098,0.196,,,,,18.278,18.464,,
,,,,,,,25.32,1.555,,,,,18.283,0.062,,
,,,,,,,25.425,0.053,,,,,18.284,0.034,,
,,,,,,,25.7,0.053,,,,,18.322,0.014,,
,,,,,,,25.981,0.047,,,,,18.537,0.037,,
,,,,,,,25.997,0.057,,,,,18.586,0.122,,
,,,,,,,26.181,0.02,,,,,18.683,0.322,,
,,,,,,,26.198,0.311,,,,,18.685,1.984,,
,,,,,,,26.286,0.217,,,,,18.743,0.631,,
,,,,,,,26.335,0.025,,,,,18.781,0.106,,
,,,,,,,26.793,0.563,,,,,18.782,0.063,,
,,,,,,,27.12,0.114,,,,,18.797,0.658,,
,,,,,,,27.157,4.249,,,,,18.817,0.699,,
,,,,,,,27.24,0.148,,,,,18.838,0.01,,
,,,,,,,27.339,0.058,,,,,18.929,0.007,,
,,,,,,,27.396,0.028,,,,,18.983,0.027,,
,,,,,,,27.397,0.217,,,,,19.088,0.024,,
,,,,,,,27.521,0.022,,,,,19.095,0.122,,
,,,,,,,27.618,0.072,,,,,19.1,0.63,,
,,,,,,,27.625,0.018,,,,,19.127,0.113,,
,,,,,,,27.629,0.174,,,,,19.16,5.069,,
,,,,,,,28.111,0.087,,,,,19.273,25.714,,
,,,,,,,28.458,0.071,,,,,19.354,0.609,,
,,,,,,,28.47,1.312,,,,,19.401,0.141,,
,,,,,,,28.519,0.016,,,,,19.403,0.121,,
,,,,,,,29.035,0.027,,,,,19.425,0.113,,
,,,,,,,29.057,0.028,,,,,19.493,0.019,,
,,,,,,,29.73,0.13,,,,,19.497,0.047,,
,,,,,,,29.762,0.041,,,,,19.535,0.076,,
,,,,,,,30.487,0.049,,,,,19.538,3.015,,
,,,,,,,30.719,0.012,,,,,19.563,0.062,,
,,,,,,,30.979,0.054,,,,,19.592,1.814,,
,,,,,,,31.948,0.848,,,,,19.606,0.255,,
,,,,,,,31.96,0.046,,,,,19.676,3.903,,
,,,,,,,32.339,0.06,,,,,19.686,0.022,,
,,,,,,,45.91,0.138,,,,,19.733,0.026,,
,,,,,,,,,,,,,19.756,0.269,,
,,,,,,,,,,,,,19.767,0.047,,
,,,,,,,,,,,,,19.769,0.17,,
,,,,,,,,,,,,,19.78,0.062,,
,,,,,,,,,,,,,19.808,0.404,,
,,,,,,,,,,,,,19.812,0.011,,
,,,,,,,,,,,,,19.83,0.024,,
,,,,,,,,,,,,,19.871,0.04,,
,,,,,,,,,,,,,19.886,0.135,,
,,,,,,,,,,,,,19.899,0.049,,
,,,,,,,,,,,,,19.989,0.506,,
,,,,,,,,,,,,,20.048,0.013,,
,,,,,,,,,,,,,20.056,0.048,,
,,,,,,,,,,,,,20.078,0.006,,
,,,,,,,,,,,,,20.123,0.697,,
,,,,,,,,,,,,,20.188,0.464,,
,,,,,,,,,,,,,20.208,0.111,,
,,,,,,,,,,,,,20.212,0.012,,
,,,,,,,,,,,,,20.219,0.051,,
,,,,,,,,,,,,,20.308,0.712,,
,,,,,,,,,,,,,20.367,0.013,,
,,,,,,,,,,,,,20.371,0.037,,
,,,,,,,,,,,,,20.403,0.003,,
,,,,,,,,,,,,,20.426,0.186,,
,,,,,,,,,,,,,20.497,0.5,,
,,,,,,,,,,,,,20.516,0.042,,
,,,,,,,,,,,,,20.517,0.039,,
,,,,,,,,,,,,,20.527,0.129,,
,,,,,,,,,,,,,20.565,0.084,,
,,,,,,,,,,,,,20.629,0.05,,
,,,,,,,,,,,,,20.732,0.754,,
,,,,,,,,,,,,,20.753,0.006,,
,,,,,,,,,,,,,20.85,0.57,,
,,,,,,,,,,,,,20.928,0.26,,
,,,,,,,,,,,,,21.006,0.02,,
,,,,,,,,,,,,,21.104,37.078,,
,,,,,,,,,,,,,21.121,0.049,,
,,,,,,,,,,,,,21.163,0.047,,
,,,,,,,,,,,,,21.178,0.006,,
,,,,,,,,,,,,,21.223,0.009,,
,,,,,,,,,,,,,21.416,0.277,,
,,,,,,,,,,,,,21.482,0.02,,
,,,,,,,,,,,,,21.51,0.218,,
,,,,,,,,,,,,,21.571,0.135,,
,,,,,,,,,,,,,21.601,0.212,,
,,,,,,,,,,,,,21.661,0.038,,
,,,,,,,,,,,,,21.792,3.155,,
,,,,,,,,,,,,,21.792,0.03,,
,,,,,,,,,,,,,21.797,0.014,,
,,,,,,,,,,,,,21.987,0.019,,
,,,,,,,,,,,,,22.019,0.587,,
,,,,,,,,,,,,,22.188,0.009,,
,,,,,,,,,,,,,22.203,0.112,,
,,,,,,,,,,,,,22.22,0.059,,
,,,,,,,,,,,,,22.248,0.044,,
,,,,,,,,,,,,,22.418,0.051,,
,,,,,,,,,,,,,22.876,0.016,,
,,,,,,,,,,,,,22.886,0.119,,
,,,,,,,,,,,,,22.907,0.005,,
,,,,,,,,,,,,,23.113,0.03,,
,,,,,,,,,,,,,23.165,0.277,,
,,,,,,,,,,,,,23.299,0.017,,
,,,,,,,,,,,,,23.51,0.038,,
,,,,,,,,,,,,,23.57,0.039,,
,,,,,,,,,,,,,23.65,0.012,,
,,,,,,,,,,,,,23.664,0.266,,
,,,,,,,,,,,,,23.695,0.179,,
,,,,,,,,,,,,,23.731,0.173,,
,,,,,,,,,,,,,23.797,0.577,,
,,,,,,,,,,,,,23.838,0.006,,
,,,,,,,,,,,,,24.069,0.245,,
,,,,,,,,,,,,,24.322,0.004,,
,,,,,,,,,,,,,24.353,0.154,,
,,,,,,,,,,,,,24.527,0.189,,
,,,,,,,,,,,,,24.564,0.024,,
,,,,,,,,,,,,,24.615,0.062,,
,,,,,,,,,,,,,24.674,23.177,,
,,,,,,,,,,,,,24.835,0.014,,
,,,,,,,,,,,,,25.13,0.011,,
,,,,,,,,,,,,,25.335,0.384,,
,,,,,,,,,,,,,26.005,0.444,,
,,,,,,,,,,,,,26.604,0.02,,
,,,,,,,,,,,,,29.591,0.005,,
,,,,,,,,,,,,,34.031,0.499,,
